"","NKR.OL.Open","NKR.OL.High","NKR.OL.Low","NKR.OL.Close","NKR.OL.Volume","NKR.OL.Adjusted"
"474",7.01,7.2,7,7,33730,2.965418
"475",7.05,7.05,6.92,6.92,10833,2.931527
"476",7,7.19,7,7.03,2655,2.978127
"477",7.05,7.17,7.05,7.11,6490,3.012017
"478",7.16,7.4,7.16,7.35,84442,3.113689
"479",7.4,7.4,7.3,7.4,24700,3.134871
"480",7.4,7.48,7.39,7.4,41482,3.134871
"481",7.5,7.5,7.4,7.45,25685,3.156052
"482",7.4,7.6,7.4,7.45,28510,3.156052
"483",7.45,8,7.45,7.9,242967,3.346686
"484",8,8,7.65,7.9,48300,3.346686
"485",7.9,7.9,7.8,7.8,52500,3.304323
"486",7.65,7.8,7.51,7.8,4950,3.304323
"487",7.8,7.8,7.8,7.8,6700,3.304323
"488",7.7,7.8,7.52,7.76,7841,3.287378
"489",7.84,7.98,7.74,7.9,46419,3.346686
"490",8.2,8.2,7.7,7.8,32963,3.304323
"491",7.7,7.8,7.69,7.8,13950,3.304323
"492",7.8,7.8,7.61,7.8,12176,3.304323
"493",7.8,7.8,7.45,7.66,34403,3.245014
"494",7.64,7.64,7.55,7.55,1609,3.198415
"495",7.56,7.63,7.48,7.5,32815,3.177233
"496",7.5,7.5,7.5,7.5,0,3.177233
"497",7.4,7.4,7.3,7.39,21700,3.130634
"498",7.4,7.4,7.38,7.38,6851,3.126398
"499",7.35,7.4,7.25,7.4,80641,3.134871
"500",7.5,7.6,7.5,7.6,52371,3.219597
"501",7.55,7.55,7.4,7.5,24605,3.177233
"502",7.5,7.5,7.5,7.5,0,3.177233
